日付,商品名,カテゴリ,地域,数量,単価,売上金額
2026-07-01,マグカップ,雑貨,大阪,5,1800,9000
2026-07-01,マグカップ,雑貨,福岡,4,1800,7200
2026-07-01,ドリップコーヒー12杯,食品,東京,1,1200,1200
2026-07-01,コーヒー豆200g,食品,大阪,5,1500,7500
2026-07-01,定期便（月1）,サブスク,福岡,1,3600,3600
2026-07-01,コーヒー豆200g,食品,札幌,4,1500,6000
2026-07-02,ドリップコーヒー12杯,食品,大阪,5,1200,6000
2026-07-02,カフェオレベース,食品,東京,1,980,980
2026-07-02,タンブラー,雑貨,東京,3,2800,8400
2026-07-02,定期便（月1）,サブスク,東京,2,3600,7200
2026-07-02,マグカップ,雑貨,大阪,2,1800,3600
2026-07-03,ドリップパックギフト,ギフト,東京,1,3200,3200
2026-07-03,カフェオレベース,食品,名古屋,3,980,2940
2026-07-03,コーヒー豆200g,食品,東京,3,1500,4500
2026-07-04,ドリップコーヒー12杯,食品,大阪,1,1200,1200
2026-07-04,カフェオレベース,食品,その他,5,980,4900
2026-07-04,ドリップパックギフト,ギフト,名古屋,3,3200,9600
2026-07-05,マグカップ,雑貨,東京,4,1800,7200
2026-07-05,ドリップパックギフト,ギフト,札幌,2,3200,6400
2026-07-05,ドリップパックギフト,ギフト,東京,5,3200,16000
2026-07-05,定期便（月1）,サブスク,福岡,3,3600,10800
2026-07-06,コーヒー豆200g,食品,名古屋,1,1500,1500
2026-07-06,定期便（月1）,サブスク,大阪,1,3600,3600
2026-07-06,ドリップパックギフト,ギフト,東京,4,3200,12800
2026-07-06,ドリップコーヒー12杯,食品,札幌,1,1200,1200
2026-07-07,ドリップコーヒー12杯,食品,東京,1,1200,1200
2026-07-07,コーヒー豆200g,食品,福岡,2,1500,3000
2026-07-07,タンブラー,雑貨,その他,4,2800,11200
2026-07-08,カフェオレベース,食品,大阪,3,980,2940
2026-07-08,ドリップコーヒー12杯,食品,福岡,2,1200,2400
2026-07-08,コーヒー豆200g,食品,大阪,3,1500,4500
2026-07-08,ギフトセット,ギフト,その他,5,4500,22500
2026-07-08,タンブラー,雑貨,福岡,5,2800,14000
2026-07-09,カフェオレベース,食品,その他,3,980,2940
2026-07-09,ドリップコーヒー12杯,食品,札幌,5,1200,6000
2026-07-09,ギフトセット,ギフト,名古屋,2,4500,9000
2026-07-10,定期便（月1）,サブスク,その他,2,3600,7200
2026-07-10,カフェオレベース,食品,福岡,4,980,3920
2026-07-10,マグカップ,雑貨,その他,4,1800,7200
2026-07-10,カフェオレベース,食品,その他,1,980,980
2026-07-11,タンブラー,雑貨,大阪,3,2800,8400
2026-07-11,カフェオレベース,食品,名古屋,3,980,2940
2026-07-11,コーヒー豆200g,食品,大阪,3,1500,4500
2026-07-11,コーヒー豆200g,食品,大阪,5,1500,7500
2026-07-11,定期便（月1）,サブスク,大阪,4,3600,14400
2026-07-11,マグカップ,雑貨,名古屋,5,1800,9000
2026-07-12,タンブラー,雑貨,東京,2,2800,5600
2026-07-12,カフェオレベース,食品,東京,1,980,980
2026-07-12,マグカップ,雑貨,東京,2,1800,3600
2026-07-12,定期便（月1）,サブスク,札幌,3,3600,10800
2026-07-12,カフェオレベース,食品,大阪,1,980,980
2026-07-12,マグカップ,雑貨,名古屋,3,1800,5400
2026-07-13,タンブラー,雑貨,東京,1,2800,2800
2026-07-13,コーヒー豆200g,食品,名古屋,3,1500,4500
2026-07-13,マグカップ,雑貨,名古屋,4,1800,7200
2026-07-13,カフェオレベース,食品,東京,2,980,1960
2026-07-14,カフェオレベース,食品,東京,1,980,980
2026-07-14,ドリップパックギフト,ギフト,名古屋,5,3200,16000
2026-07-14,コーヒー豆200g,食品,東京,5,1500,7500
2026-07-15,ドリップコーヒー12杯,食品,大阪,3,1200,3600
2026-07-15,マグカップ,雑貨,東京,3,1800,5400
2026-07-15,定期便（月1）,サブスク,福岡,1,3600,3600
2026-07-16,定期便（月1）,サブスク,東京,4,3600,14400
2026-07-16,タンブラー,雑貨,東京,4,2800,11200
2026-07-16,タンブラー,雑貨,名古屋,3,2800,8400
2026-07-17,マグカップ,雑貨,東京,4,1800,7200
2026-07-17,ドリップパックギフト,ギフト,東京,2,3200,6400
2026-07-18,カフェオレベース,食品,東京,3,980,2940
2026-07-18,コーヒー豆200g,食品,東京,5,1500,7500
2026-07-18,タンブラー,雑貨,東京,4,2800,11200
2026-07-19,定期便（月1）,サブスク,福岡,1,3600,3600
2026-07-19,マグカップ,雑貨,福岡,5,1800,9000
2026-07-20,コーヒー豆200g,食品,東京,2,1500,3000
2026-07-20,カフェオレベース,食品,名古屋,5,980,4900
2026-07-20,ドリップコーヒー12杯,食品,福岡,4,1200,4800
2026-07-20,定期便（月1）,サブスク,名古屋,5,3600,18000
2026-07-20,マグカップ,雑貨,その他,4,1800,7200
2026-07-20,マグカップ,雑貨,東京,3,1800,5400
2026-07-21,ギフトセット,ギフト,東京,4,4500,18000
2026-07-21,コーヒー豆200g,食品,その他,5,1500,7500
2026-07-21,カフェオレベース,食品,名古屋,5,980,4900
2026-07-21,マグカップ,雑貨,東京,2,1800,3600
2026-07-21,ドリップコーヒー12杯,食品,東京,4,1200,4800
2026-07-22,マグカップ,雑貨,札幌,5,1800,9000
2026-07-22,タンブラー,雑貨,東京,3,2800,8400
2026-07-22,カフェオレベース,食品,名古屋,1,980,980
2026-07-23,コーヒー豆200g,食品,札幌,1,1500,1500
2026-07-23,コーヒー豆200g,食品,東京,5,1500,7500
2026-07-23,コーヒー豆200g,食品,東京,3,1500,4500
2026-07-24,ドリップパックギフト,ギフト,東京,3,3200,9600
2026-07-24,ギフトセット,ギフト,東京,2,4500,9000
2026-07-24,ドリップコーヒー12杯,食品,東京,3,1200,3600
2026-07-24,マグカップ,雑貨,名古屋,4,1800,7200
2026-07-24,ドリップコーヒー12杯,食品,名古屋,5,1200,6000
2026-07-24,マグカップ,雑貨,大阪,4,1800,7200
2026-07-25,ドリップコーヒー12杯,食品,福岡,1,1200,1200
2026-07-25,コーヒー豆200g,食品,名古屋,4,1500,6000
2026-07-25,カフェオレベース,食品,大阪,4,980,3920
2026-07-25,マグカップ,雑貨,大阪,1,1800,1800
2026-07-26,マグカップ,雑貨,福岡,4,1800,7200
2026-07-26,マグカップ,雑貨,大阪,2,1800,3600
2026-07-26,マグカップ,雑貨,その他,2,1800,3600
2026-07-26,カフェオレベース,食品,東京,2,980,1960
2026-07-26,マグカップ,雑貨,名古屋,5,1800,9000
2026-07-26,ドリップパックギフト,ギフト,大阪,2,3200,6400
2026-07-27,ギフトセット,ギフト,名古屋,3,4500,13500
2026-07-27,コーヒー豆200g,食品,大阪,5,1500,7500
2026-07-27,定期便（月1）,サブスク,その他,4,3600,14400
2026-07-27,マグカップ,雑貨,大阪,2,1800,3600
